playerid_fg,name,name_clean
sanchcr01,Cristopher Sánchez,cristopher sánchez
keuchda01,Dallas Keuchel,dallas keuchel
dunnida01,Dane Dunning,dane dunning
swansda01,Dansby Swanson,dansby swanson
varshda01,Daulton Varsho,daulton varsho
fletcda02,David Fletcher,david fletcher
peralda01,David Peralta,david peralta
peterda01,David Peterson,david peterson
kremede01,Dean Kremer,dean kremer
lemahdj01,DJ LeMahieu,dj lemahieu
smithdo02,Dominic Smith,dominic smith
carlsdy01,Dylan Carlson,dylan carlson
ceasedy01,Dylan Cease,dylan cease
rosared01,Eddie Rosario,eddie rosario
escobed01,Eduardo Escobar,eduardo escobar
diazel01,Elias Díaz,elias díaz
delacel01,Elly De La Cruz,elly de la cruz
andruel01,Elvis Andrus,elvis andrus
hernaen02,Enrique Hernández,enrique hernández
hosmeer01,Eric Hosmer,eric hosmer
wagamer01,Eric Wagaman,eric wagaman
feddeer01,Erick Fedde,erick fedde
clemeer01,Ernie Clement,ernie clement
suareeu01,Eugenio Suárez,eugenio suárez
tovarez01,Ezequiel Tovar,ezequiel tovar
tatisfe02,Fernando Tatis Jr.,fernando tatis jr
valdefr01,Framber Valdez,framber valdez
lindofr01,Francisco Lindor,francisco lindor
montafr01,Frankie Montas,frankie montas
freemfr01,Freddie Freeman,freddie freeman
peralfr01,Freddy Peralta,freddy peralta
crochga01,Garrett Crochet,garrett crochet
luxga01,Gavin Lux,gavin lux
sheetga01,Gavin Sheets,gavin sheets
williga01,Gavin Williams,gavin williams
kirbyge01,George Kirby,george kirby
springe01,George Springer,george springer
perdoge01,Geraldo Perdomo,geraldo perdomo
marquge01,Germán Márquez,germán márquez
colege01,Gerrit Cole,gerrit cole
stantmi03,Giancarlo Stanton,giancarlo stanton
urshegi01,Gio Urshela,gio urshela
torregl01,Gleyber Torres,gleyber torres
cannigr01,Griffin Canning,griffin canning
hendegu01,Gunnar Henderson,gunnar henderson
kimha01,Ha-Seong Kim,ha-seong kim
ramoshe02,Heliot Ramos,heliot ramos
brownhu01,Hunter Brown,hunter brown
doziehu01,Hunter Dozier,hunter dozier
goodmhu01,Hunter Goodman,hunter goodman
renfrhu01,Hunter Renfroe,hunter renfroe
ryuhy01,Hyun Jin Ryu,hyun jin ryu
happia01,Ian Happ,ian happ
paredis01,Isaac Paredes,isaac paredes
kineris01,Isiah Kiner-Falefa,isiah kiner-falefa
davisjd01,J.D. Davis,jd davis
martijd02,J.D. Martinez,jd martinez
crawfjp01,J.P. Crawford,jp crawford
realmjt01,J.T. Realmuto,jt realmuto
flaheja01,Jack Flaherty,jack flaherty
suwinja01,Jack Suwinski,jack suwinski
chourja01,Jackson Chourio,jackson chourio
hollija01,Jackson Holliday,jackson holliday
merrija01,Jackson Merrill,jackson merrill
degroja01,Jacob deGrom,jacob degrom
wilsoja03,Jacob Wilson,jacob wilson
youngja03,Jacob Young,jacob young
burgeja01,Jake Burger,jake burger
croneja01,Jake Cronenworth,jake cronenworth
irvinja01,Jake Irvin,jake irvin
meyerja02,Jake Meyers,jake meyers
outmaja01,James Outman,james outman
woodja03,James Wood,james wood
taillja01,Jameson Taillon,jameson taillon
walshja01,Jared Walsh,jared walsh
duranja01,Jarren Duran,jarren duran
baezja01,Javier Báez,javier báez
chishja01,Jazz Chisholm Jr.,jazz chisholm jr
segurje01,Jean Segura,jean segura
lowrije01,Jed Lowrie,jed lowrie
mcneije01,Jeff McNeil,jeff mcneil
sprinje01,Jeffrey Springs,jeffrey springs
candeje01,Jeimer Candelario,jeimer candelario
penaje02,Jeremy Peña,jeremy peña
winkeje01,Jesse Winker,jesse winker
aguilje01,Jesús Aguilar,jesús aguilar
luzarje01,Jesús Luzardo,jesús luzardo
sanchje02,Jesús Sánchez,jesús sánchez
bledajj01,JJ Bleday,jj bleday
adelljo01,Jo Adell,jo adell
musgrjo01,Joe Musgrove,joe musgrove
ryanjo04,Joe Ryan,joe ryan
gallojo01,Joey Gallo,joey gallo
menesjo01,Joey Meneses,joey meneses
ortizjo06,Joey Ortiz,joey ortiz
vottojo01,Joey Votto,joey votto
oviedjo01,Johan Oviedo,johan oviedo
indiajo01,Jonathan India,jonathan india
schoojo01,Jonathan Schoop,jonathan schoop
villajo01,Jonathan Villar,jonathan villar
beckjo01,Jordan Beck,jordan beck
lylesjo01,Jordan Lyles,jordan lyles
montgjo01,Jordan Montgomery,jordan montgomery
mateojo01,Jorge Mateo,jorge mateo
polanjo01,Jorge Polanco,jorge polanco
solerjo01,Jorge Soler,jorge soler
abreujo02,José Abreu,josé abreu
altuvjo01,Jose Altuve,jose altuve
berrijo01,José Berríos,josé berríos
iglesjo01,Jose Iglesias,jose iglesias
quintjo01,Jose Quintana,jose quintana
ramirjo02,José Ramírez,josé ramírez
soriajo02,José Soriano,josé soriano
urquijo01,José Urquidy,josé urquidy
belljo01,Josh Bell,josh bell
donaljo02,Josh Donaldson,josh donaldson
harrijo05,Josh Harrison,josh harrison
jungjo01,Josh Jung,josh jung
naylojo01,Josh Naylor,josh naylor
rojasjo01,Josh Rojas,josh rojas
smithjo07,Josh Smith,josh smith
searsjp01,JP Sears,jp sears
sotoju01,Juan Soto,juan soto
rodriju01,Julio Rodríguez,julio rodríguez
uriasju01,Julio Urías,julio urías
leeju01,Jung Hoo Lee,jung hoo lee
caminju01,Junior Caminero,junior caminero
profaju01,Jurickson Profar,jurickson profar
steelju01,Justin Steele,justin steele
turneju01,Justin Turner,justin turner
verlaju01,Justin Verlander,justin verlander
hayeske01,Ke'Bryan Hayes,ke'bryan hayes
ruizke01,Keibert Ruiz,keibert ruiz
marteke01,Ketel Marte,ketel marte
gausmke01,Kevin Gausman,kevin gausman
newmake01,Kevin Newman,kevin newman
sengako01,Kodai Senga,kodai senga
bryankr01,Kris Bryant,kris bryant
crawfku01,Kutter Crawford,kutter crawford
bradiky01,Kyle Bradish,kyle bradish
farmeky01,Kyle Farmer,kyle farmer
freelky01,Kyle Freeland,kyle freeland
gibsoky01,Kyle Gibson,kyle gibson
hendrky01,Kyle Hendricks,kyle hendricks
manzaky01,Kyle Manzardo,kyle manzardo
schwaky01,Kyle Schwarber,kyle schwarber
seageky01,Kyle Seager,kyle seager
tuckeky01,Kyle Tucker,kyle tucker
wrighky01,Kyle Wright,kyle wright
wadela01,LaMonte Wade Jr.,lamonte wade jr
lynnla01,Lance Lynn,lance lynn
mcculla02,Lance McCullers Jr.,lance mccullers jr
thomala02,Lane Thomas,lane thomas
